ticket_text,category,urgency,urgency_stated,label_noise
"Hi support, Do you offer training sessions for new admin accounts. It does not really affect anything we do which means everything else works perfectly well, genuinely not a priority for us. Let me know if you need screenshots.",General Inquiry,Low,true,false
"Password reset says the account does not exist but i receive your billing email We have had to build a manual workaround to cope, our team lead HAS asked me to chase this",Login/Access,High,true,false
"team, the csv export is missing the last column on every row. nothing is actually blocked because of it. thanks for your time.",Bug Report,Medium,true,false
"good morning, we have a security review today and need your compliance documentation now. reproduced by 12 different people here. thanks!",General Inquiry,Medium,false,false
"Hello support, The column widths on the invoice list reset every time i navigate away. Everything else works perfectly well, so please put it at the very bottom of the queue. Thanks for your time.",Bug Report,Low,true,false
"hello support, our whole workflow has stopped dead and please escalate this right now. we need sso with okta before we can roll this out to 3 people.",General Inquiry,Critical,true,true
Who should i talk to about a renewall conversation. Please advise.,General Inquiry,Medium,false,false
"Hey, The auto-renewal took $49 out our ACCOUNT without any notice We need an emergency fix today Screenshots attached Looking forward to your reply",Billing,Critical,true,false
"hello, a tooltip on the reports page has a typo in it. we would like an update today if you can manage it. thanks!!!",Bug Report,High,true,false
"the ssl certificate on your api host looks like it is misconfigured. not one personn here can get anything done, so we have an active incident open on our side, we need someone on this immediately. thanks for your time.",Bug Report,Critical,true,true
"Good morning, The login page rejects my correct password in safari on ios 18 but works elsewhere. It slows us down a little. Let me know.",Login/Access,Medium,true,false
"Hi team, It would be raelly useful to have granular notification settings in the settings page. Only i have noticed it so far, so just noting it for the record!!",Feature Request,Low,true,false
"Hey, I get a 403 when opening the webhook manager even though i am a manager. It slows us down a little.",Login/Access,Medium,true,false
"Hi support, We see 404 errors in our logs for roughly 60 requests per minute. We owuld really appreciate a fix within a day or two. I am on Chrome on Android running Windows 10. Let me know if you need screenshots.",Technical Issue,High,true,false
"Morning, The form accepts an invalid email address and saves it without complaint.",Bug Report,Medium,false,false
Password reset says the account does not exist but i receive your billing email. Our launch today is at risk. this is urgent in the strongest sense of the word. Appreciate the help.,Login/Access,Critical,true,false
"Hi folks, Our account was suspended for non payment even though the invoice is paid. Let me know!!",Billing,Critical,false,false
"Good morning, I would like to update the billing address on our account. We can work around it for now - would be good to have this fixed eventually!!!!",Billing,Medium,true,false
"Hello support, A regression since the last release broke the filter on the notifications panel It shows up every now and then which means nothing is actually blocked because of it",Technical Issue,Medium,true,true
"Hey, Our contract renewal depends on two-way calendar sync being available It affects one part of our workflow",Feature Request,Medium,true,false
"please add role-based permissions, every competitor we evaluated has it. it is eating into time we do not have. we are on the pro plan. let me know.",General Inquiry,High,true,true
The nightly export job hws been timing out since tuesday. We are on the Starter plan. Thanks for your time.,Technical Issue,Critical,false,false
"Hi support, Nobody else has even mentioned it and we are not blocked in any way, so just noting it for the record. Timestamp display in utc on the export tool but in local time everywhere else. Reproduced by 60 different people here. Thanks for your time.",Bug Report,Low,true,false
"it does not really affect anything we do - nothing depends on this at all. we occasionally see a retry warning in the logs, is that expected. get back to me when you can.",Technical Issue,Medium,true,true
"Good morning, What is the difference between the scale and team plans. Nothing depends on this at all. Reference ORD-88190 if that helps.",General Inquiry,Low,true,false
"Hello support, TThe retry logic gets stuck in a loop because /v2/search returns err_connection_reset. Whenever you happen to get to it is fine. Appreciate thhe help!!",Technical Issue,Low,true,false
"hi folks, nobody else has even mentioned it, so whenever you happen to get to it is fine. how do i rotate the api key on my account. get get back to me when you can.",Login/Access,Low,true,false
It would be nice if the project timeline remembered my last filter.,Feature Request,Low,false,false
The total on the admin console shows a different number than the export It comes up maybe once a day and we have a manual fallback that works Looking forward to your reply,Bug Report,Medium,true,false
I get a blank white screen on the export tool in edge 131.,Bug Report,Critical,false,false
"hi team, the search bar ignores hyphens so no results come back for hyphenated names. it matters to us but we are not on fire. happy to provide more detail if useful.",Bug Report,High,true,false
"Hi support, I would ilke to update the billinng address on our account. Genuinely not a priority for us. I checked the documentation first and could not find anything!!!",Billing,Low,true,false
"Hi support, It is a single screen and nothing nothing else which means no response needed really Is a native mobile app something that exists ttoday or am i missing it Our developer ocnfirmed the same behaviour on macOS 15.2",General Inquiry,Low,true,false
"Hello, A failed payment has locked our whole workspace out of the notifications panel Our whole workflow has stopped dead and our executives are asking for updates every few minutes we need a call as soon as humanly possible",Billing,Critical,true,false
hi team the retry logic gets stuck in a loop because /v2/orders returns 504. a good portion of our users hit this daily - it is eating into time we do not have. please prioritise this above the rest of our queue. let me know.,Technical Issue,High,true,false
"Good morning, Only i have noticed it so far. absolutely no rush on this. Api latency went from milliseconds to several seconds ever since the weekend. Let me know.",Bug Report,Low,true,true
"hi folks, we would love to see a sandbox environment integrated with hubspot. it is purely cosmetic. tried again ten minutes later with the same result.",General Inquiry,Low,true,true
I get a blank white screen on the team management screen in chrome on android. Pease treat this as a severity one incident. Thanks in advance.,Bug Report,Critical,true,false
"Hi there, Archived records still show up in the audit log by default. Nobody else has even mentioned it, this has zero impact on our work and genuinely not a priority for us. Tried again ten minutes later with the same result. Appreciate the help.",Bug Report,Low,true,false
"Hi folks, Bulk selecting rows and applying an action only affects the first one. It is affecting a few people here.",Bug Report,High,true,false
"Hi there, We have a security review today and need your compliance documentation now. This hsa taken out our live environment - we are losing revenue by the minute. Reference INV-20415 if that helps. Let me know if you need screenshots.",General Inquiry,Critical,true,false
It does not really affect anything we do and just noting it for the record. Requests from our windows 11 build fail with 503 but curl works fine. Let me know if you need screenshots!!,Technical Issue,Low,true,false
"Good morning, The api returns results in a different order between calls It does not really affect anything we do, so this has zero impact on our work Let me know if you need screenshots",Technical Issue,Low,true,false
Nothing is actually blocked because of it. worth looking at when you get a chance. Throughput dropped by by half for the last 48 hours with no change on our side. Let me know if you need screenshots.,Technical Issue,Medium,true,false
"Hi support, The modal on the permissions matrix cannot be closed once it opens in safari 18. This is MORE disruptive than it probably sounds. Our developer confirmed the same behaviour on Debian 12.",Bug Report,High,true,false
"Dear support team, We see 503 errors in our logs for roughly 200 requests per minute. Only a handful of us run into it. This started since the last release. Please advise.",Technical Issue,Medium,true,false
"Morning, The refund for ord-44812 was approved for THE last 48 hours but has not landed. Logged from our Enterprise workspace. Thanks!?!",Billing,Medium,false,false
"Hey, I would like to add a seocnd admin to our account. is purely cosmetic.",Login/Access,Low,true,false
"Dear support team, It affects a large part of our daily workflow, we have had to build a manual workaround to cope. I lost my phone and cannot get past the mfa prompt. Thanks!",Login/Access,High,true,false
The websocket connection to the billing portal keeps dropping and reconnecting. Please advise.,Technical Issue,Medium,false,false
"The credit note you issued for txn-3391082 never appeared on our statement. We can work around it for now, so worth looking at when you get a chance. Thanks in advance.",Billing,Medium,true,false
"can you explain the proration line item of $18,300 on our last invoice. it affecting a few people here. our workspace has about 40 users. let me know if you need screenshots.",Billing,High,true,false
"Dear support team, The websocket connection to the search bar keeps dropping and reconnecting. It is spreading to more of the team as we onboard and hoping for a quick turnaround if at all possible. Cheers.",Technical Issue,High,true,false
could you expose slack notifications through the /v2/orders endpoint. not critical but certainly not trivial either. i am on safari 18 running android 15.,Feature Request,Medium,true,false
"Hi team, The websocket connection to the analytics view keeps dropping and reconnecting. It affects a large part of our daily workflow and it is eating into time we do not have. Get back to me when you can.",Technical Issue,High,true,false
A good portion of our users hit this daily which means hoping for a quick turnaround if at all possible. Bulk imports of 12 records stall halfway through with no error. Thanks!,Technical Issue,High,true,false
"Pagination skips the first item on page two. Only a handful of us run into it and nothing is actually blocked because of it, so no particular deadline from our side. Ticket arised on behalf of our manager!!!",Bug Report,Medium,true,false
"Hello support, Our 7 new hires cannot accept their workspace invitations. Our workspace has about 7 users. Thanks!",Login/Access,Critical,false,false
"Hello, A couple of people have noticed it, no particular deadline from our side. The refund for tkt-10233 was appoved all week but has not landed. Thanks for your time.",Billing,Medium,true,false
"hi folks, any chance you could support dark mode for starter customers. this has zero impact on our work. cheers.",Feature Request,Low,true,false
"Dear support team, We occasionally see a retry warning in the logs, is that expected.",Technical Issue,Medium,false,true
Nobody on the team can work at all and our launch today is at risk. we nedd a call as soon as humanly possible. My account is locked after a few failed attempts and will not unlock. We are on the Enterprise plan.,Login/Access,Critical,true,false
"Hi team, It is a single screen and nothing else, so genuinely not a priority for us. I would like to update the billing address on our account. Thanks in advance.",Billing,Low,true,false
"Good morning, Dns resolution for your api endpoint fails from our region. This affects every customer we have and we are losing revenue by the minute, so we need a cal as soon as humanly possible. Looking forward to your reply.",Technical Issue,Critical,true,false
"Hey, Is the user directory covered by your uptime commitment. It does not really affect anythibg we do which means we are not blocked in any way and absolutely no rush on this. Looking forward to your reply!!",General Inquiry,Low,true,false
"dear support team, we downraded from free to business buut were still billed the old rate. please advise.",Billing,Medium,false,false
"Hello support, We occasionally see a retry warning in the logs, is that expected. It does not really affect anything we do, genuinely not a priority for us. I am on Safari 18 running macOS 15.2.",Technical Issue,Low,true,false
"Hello support, Data entered yesterday has disappeared from the settings pge entirely. Logged from our Growth workspace. Happy to provide more detail useful.",Bug Report,High,false,false
"Hi team, Any chance you could support role-based permissions for team customers. Nothing depends on this at all which means just noting it for the record. Let me know if you need screenshots.",Feature Request,Low,true,false
"Hey, The refund for ord-44812 was approved for about three days but has not landed. This has zero impact on our work - absolutely no rush on this. Our workspace has about 1,800 users. Thanks!",Billing,Low,true,false
"Hello, It is getting noticeably worse week on week, so we would really appreciate a fix within a day or two. Enforcing mfa locked out every user who had not enrolled yet. Reference REF-77120 if that helps.",Login/Access,High,true,false
hTe chart renders an empty axis when a series has zero values Appreciate the help,Bug Report,Low,false,false
The console throws a null reference error when i open the onboarding flow. It slows us down a little. sometime in the next few weeks would be fine. This started for the last 48 hours.,Bug Report,Medium,true,false
"Hey, Nothing depends on this at all Could you add our company registration number to future invoices",Billing,Low,true,false
"Morning, How long does it usually take for support to respond. Only i have noticed it so far - this has zero impact on our work which means just noting it for the record. Let me know.",General Inquiry,Low,true,false
"Good morning, Only i have noticed it so far and we are not blocked in any way What is the recommended way to structure teams for 3 users",General Inquiry,Low,true,false
"Hello, We are hitting a rate limit of 200 requests and cannot complete a sync. It affects one part of our workflow. Thanks in advance.",Technical Issue,Medium,true,false
"nobody else has even mentioned it and everything else works perfectly well, please put it at the very bottom of the queue. we see econnrefused errors in our logs for roughly 40 requests per minute.",Technical Issue,Low,true,false
"hi there, the console throws a null reference error when open the integrations page. moderately important from where we sit.",Bug Report,High,true,false
"Good morning, Only i have noticed it so far which means just noting it for the record. The dae filter returns results outside the range i selected. Thanks!",Bug Report,Medium,true,true
"Hi support, Our 1,800 new hires cannot accept their workspace invitations. We are in breach of our sla AS of this morning. Appreciate the help.",Login/Access,Critical,true,false
Hi support How long does it usually take for support to respond. I am on Safari on iOS 18 running Debin 12. Let me know.,General Inquiry,High,false,false
i want to switch my lkgin email to a different address,Login/Access,Low,false,false
"Hey, The console thhrows a null reference error when i open the user directory. Moderately important from where we sit. Cheers.",Bug Report,Medium,true,false
"Dear support team, The login page rejects my correct password in chrome on android but works elsewhere. We have active incident open on our side. Tried again about an hour later with the same result.",Login/Access,Critical,true,true
"Hi folks, Bulk selecting rows and applying an action only affects the first one Our workspace has about 3 users Happy to provide more detail if useful",Bug Report,Medium,false,false
"Hi there, We are losing revenue by the minute. The netsuite sync has been failing with 504!!",Technical Issue,Critical,true,false
"Morning, I can log in on deskgop but the mobule app rejects the same credentials. We hhave an ctive incident open on our side and please escalate this right now. This started zince the last release. Let me know if you need screenshots.",Login/Access,Critical,true,false
"hi folks, not critical but certainly not trivial either the magic link expires before i can click it thanks!",Login/Access,Medium,true,false
"Hi there, Connections to your service drop after about three days. Let me know.",Technical Issue,Medium,false,false
"Good morning, Eery request to /api/auth/token has returned 502 since yesterday. It does not really affect anything we do which means nothing depends on this at all. Let me know if you need screenshots.",Technical Issue,Low,true,false
Enforcing mfa locked out every user who had not enrolled yet. It affects a large part of our daily workflow. Get back to me when you can.,Login/Access,High,true,false
"Hi support, A couple of people have noticed it, so no particular deadline from our side. We work around the lack of webhook retries with a spreadsheet today. Thanks for your time!!!",Feature Request,Medium,true,false
Connections to your service drop after about about an hour. It changes nothing about how we use the product which means just noting it for the record. Tried again 45 seconds later with the same result. Cheers.,Technical Issue,Low,true,false
"Hi support, The export contains another customer's rows mixed into ours. Our workspace has about 1,800 users. Looking forward to your reply.",Bug Report,High,false,false
"Dear support team, How do i invite a read-only user our workspace. Tried again two hours later with the same result. Happy to provide more detail if useful.",General Inquiry,Medium,false,false
"Hey, It does not really affect anything we do. An option to disable the default behaviour in the api console would help. Tried again three days later with the same result. Let me know.",Feature Request,Low,true,false
"Hi support, The invoice for 2026-07-29 has the wrong vat number on it. Sometime in the next few weeks would be fine. Tried again aout an hour later with the same result. Thanks for your time.",Billing,Medium,true,false
"Hello, The console throws a null reference error when i open the permissions matrix. Reference REF-77120 if that helps. Appreciate the help.",Bug Report,Medium,false,false
"The magiic link expires before i can click it. A whole department is working around this, so hoping for a quick turnaround if at all possible. Lookign forward to your reply.",Login/Access,High,true,false
"Dear support team, An option to disable the default behaviour in the project timeline would help It comes up maybe once a day, so just putting it on your radar Screenshots attached Appreciate the help",Feature Request,Medium,true,false
are there best practices for organising the export tool at scale. would be good to have this fixed eventually.,General Inquiry,Medium,true,false
what is the recommended way to structure teams for 12 users. most of our admin accounts are running itno it and we would really appreciate a fxi within a day or two. cheers.,General Inquiry,High,true,false
"Hi team, Requests from our windows 11 build fail with 403 but curl works fine. Our team lead has asked me to chase this. Appreciate the help.",Technical Issue,High,true,false
Nothing is actually blocked because of it. Responses from from /v1/exports have been returning truncated payloads!!,Technical Issue,Medium,true,false
"Hello, An option to disable the default behaviour in the analytics view would help. Thanks in advance.",Feature Request,Medium,false,false
"Hello, It does not really affect anything we do and genuinely not a priority for us. Our team keeps asking for role-based permissions, is it planned. Thanks in advance.",Feature Request,Low,true,false
"Hello support, A couple of pepole have noticed it, so it slowe us down a little and would be good to have this fixed eventually The websocket connection to the admin console keeps dropping and reconnecting Appreciate the help",Bug Report,Medium,true,true
TThe console throws a null reference error when i open the search bar. It is costing us hours every day. I checked the documentation first and vould not find anything. Get back to me when you can.,Technical Issue,High,true,true
"morning, throughput dorpped by half for the last 48 hours with no change on our side. it is purely cosmetic. i am on firefox 133 running windows 10. appreciate thee help.",Technical Issue,Low,true,false
"Good morning, The modal on the intgrations page cannot be closed once it opens in chrome 131.",Bug Report,Critical,false,false
"Dear support team, The /v2/events endpoint returns 502 intermittently.",Technical Issue,Critical,false,false
"Hello support, The stripe integration disconnects itself every few hours.",Technical Issue,Low,false,false
"Hi team, Clicking save on the admin console wipes the form and loses my input.",Bug Report,High,false,false
The credit note you issued for tkt-10233 never never appeared on our statement. This has zero impact on our work. Thanks for your TIME.,Billing,Low,true,false
Enforcing mfa locked out EVERY user who had not enrolled yet. We have had to build a manual workaround to cope. I am on Safari 18 running Debian 12. Any help appreciated.,Login/Access,High,true,false
The date filter returns results outside the range i selected We would like this looked at reasonably soon,Bug Report,High,true,true
"Hi there, Percentages on the summary card do not add up to 100. A whole department is working around this.",Bug Report,High,true,false
Hey What happens to our data if we cancel the business plan. Thanks!,General Inquiry,High,false,false
we removed a user and now nobody can access the team management screen please advise,Login/Access,Medium,false,false
"Morning, We downgraded from growth to starter but were stll billed the old rate. Reproduced by 7 different people here. Let me know if you need screenshots.",Billing,Medium,false,false
"Hi team, The snowflake sync has been failing with 403. Our developer confirmed the same behaviour on Windows 11. Cheers.",Technical Issue,Critical,false,false
Only a handful of us run into it - it slows us down a little - sometime in the next few weeks would be fine. Where can i find documentation for the invoice list. Thanks!,General Inquiry,Medium,true,false
Sorting by name in the mobile app puts uppercase entries in a random order. It affects one part of our workflow and it slows us down a little and would be good to have this fixed eventually. Any help appreciated.,Bug Report,Medium,true,false
"Hi support, A billing contact on our team cannot see the audit at all. It IS a single screen and nothing else which means we are not blocked in any way. This started ever since the weekend. Thanks!",Login/Access,Low,true,false
"Hi there, The admin console takes over ten minutes to load for everyone on our team. Thanks in advance!!!",Technical Issue,High,false,false
"dear support team, please move our billing cycle from monthly to annual on the scale plan. it happens on chrome on android as well.",Billing,High,false,false
The workspace owner left the company and we are locked out of settings Most of our workspace owner accounts are running into it and our release this week is at risk,Login/Access,High,true,false
"Hi folks, Response times on /v2/search are slightly slower than documented. Nobody else has even mentioned it. Any help appreciated.",Technical Issue,Low,true,false
"Hey, Please move our billing cycle from monthly to annual on the pro plan It happens on Brave as well Looking forward to your reply",Billing,Medium,false,false
"Hello support, Duplicate entries appear every time i refresh the notifications panel. It comes up maybe ocne a day.",Bug Report,Medium,true,false
"hi folks, only i have noticed it so far - no response needed really. could the billinng portal support slack notifications at some point.",Feature Request,Low,true,false
"The nightly export job has been timing out ever since the weekend. It comes up maybe once a day. we have a manual fallback that works, no particular deadline from our side. Any help appreciated.",Technical Issue,Medium,true,false
"Good morning, My card was declined but the subscription still shows as active. It happens on irefox 133 as well. Cheers.",Billing,Low,false,false
Where can i find documentation for the audit log. It changes nothing about how we use the product. I am on Safari 18 running Windows 11. Appreciate the help.,General Inquiry,Low,true,false
Enforcing mfa locked out every user who had not enrolled yet Several people on the team are affected,Login/Access,High,true,false
Hello support Are there besr practices for organising the usser directory at scale. It shows up every now and then which means nothing is actually blocked because of it sometime in the next fsw weeks would be fine. I checked the documentation first and could not find anything.,General Inquiry,Medium,true,false
"Hello support, The nightly export job has been timing out since the last release. We would like this lloked at reasonably soon.",Technical Issue,Medium,true,false
"Hi team, Woukd oyu consider two-way calendar sync as a paid add-on. Nobody else hsa eevn mentioned it, so no response needed really. Thanks!",General Inquiry,Low,true,true
"hi support, i get a blank white screen on the audit log in safari on ios 18. please advise.",Bug Report,Medium,false,false
I want to cancel the subscription and get a refund of $79. Moderately important from where we sit. I have already tried clearing the cache and reinstalling. Thanks in advance.,Billing,High,true,false
"Hi support, Nothing depends on this at all and purely for your awareness. Is there a guide for setting up SALESFORCE.",General Inquiry,Low,true,false
"Hey, Somewhere in the middle of your queue would be fair. Our auditor is asking where our data is stored and we have to answer today. Our developer confirmed the same behaviour on iOS 18.1.",General Inquiry,High,true,false
"Morning, It shows up every mow and then which means we have a manual fallback that works. I want to cancel the subscription and get a refund of €1,450.00. This started since yesterday. Thanks in advance.",Billing,Medium,true,false
"Hello, Can we switch the free subscription to invoice-based payment terms It is a single screen and nothing else - everything else works perfectly well and whenever you happen to get to is fine",Billing,Low,true,false
"hi there, access to the billing portal disappeared after our plan changed to pro. this affects every customer we have and we are losing revenue by the minute. please escalate this right now. reproduced by 1,800 different people here. let me know if you need screenshots.",Login/Access,Critical,true,false
Bulk selecting rows and applying action only affects the first one A couple of people have noticed it and it is more of an irritation than a problem This started since Tuesday,Bug Report,Low,true,true
"Hey, The workspace owner left the company and we are locked out of settings Our workspace has about 200 users",Login/Access,High,false,false
"Hey, The salesforce sync has been failing with 429. Only a handful of us run into it. it slows us down a little. It happens on Brave as well.",Bug Report,High,true,true
Where can i find documentation for the billing portal. This has zero impact on our work. Appreciate the help.,General Inquiry,Low,true,false
"Hello support, My card wwas declined but the subscription still shows as active We lose a few minutes here and there which means happy to wait for the next release",Billing,Medium,true,false
"hi folks, duplicate entries appear every time i refresh the billing portal. it affects one part of our workflow. any help appreciated.",Bug Report,Medium,true,false
"Good morning, I get a 403 when opening the notifications panel even though i am a billing contact. It is eating into time we do not have. Logged from our Scale workspace. Any help appreciated.",Login/Access,High,true,false
"Hi folks, This has taken out our live environment which means our executives are asking for updates every few minutes. The notifications panel is unreachable from our office network but fine on mobile data. Reference TXN-3391082 if that helps. Thanks for your time.",Technical Issue,Critical,true,false
"Hi folks, Duplicate entries appear every time i refresh the settings page. Thanks for your time.",Bug Report,High,false,false
"Hi folks, Hoping for a quick turnaround if at all possible. We removed a user and now nobody can access the dashboard!!!!",Login/Access,High,true,false
"Hey, The csv export is missing the last column on every row. Several people on the team are affected and it is costing us hours every day.",Bug Report,High,true,false
"Hi team, Please add saved filters, every competitor we evaluated has it It is costing us hours EVERY day Looking forward to your reply",Feature Request,High,true,false
"Hi there, Responses frrom /v2/invoices have been returning truncated payloads. It is more of an irritation than a problem.",Technical Issue,Medium,true,false
"Hello support, Our webhooks stopped being delivered for about three days. Several people on the team are affected.",Technical Issue,High,true,false
"Hello support, We would like to review which accounts still have admin rights. It is a single screen and nothing else. genuinely not a priority for us. Screenshots attached.",Login/Access,Low,true,false
"Hello support, Can you point me at the onboarding checklist for new teams. Nobody else has even mentioned it and nothing depends on this at all, response needed really. It happens on Chrome on Android as well. Get back to me when you can.",General Inquiry,Low,true,false
"Hi folks, The undo button restores the wrong version of the record Only i have noticed it so far, so it changes nothing about how we use the product Our developer confirmed the same behaviour on macOS 15.2 Cheers",Bug Report,Low,true,false
"Good morning, We see 404 errors in our logs for roughly 200 requests per minute. It comes up maybe once a day. we can work around it for now and worth looking at when you get a chance. Any help appreciated.",Technical Issue,Medium,true,false
